timestamp,open,high,low,close,volume
2024-10-01T00:00:00Z,2601.49,2612.96,2590.57,2611.27,77271.794
2024-10-01T00:30:00Z,2611.27,2623.5,2606.41,2618.05,61835.033
2024-10-01T01:00:00Z,2618.04,2628.73,2615.31,2626.0,51237.98
2024-10-01T01:30:00Z,2626.0,2627.76,2618.88,2620.81,26329.485
2024-10-01T02:00:00Z,2620.81,2620.98,2606.56,2614.83,39716.415
2024-10-01T02:30:00Z,2614.83,2619.5,2612.0,2619.11,15922.254
2024-10-01T03:00:00Z,2619.12,2632.32,2616.6,2625.13,40434.668
2024-10-01T03:30:00Z,2625.13,2632.92,2624.51,2629.33,27867.068
2024-10-01T04:00:00Z,2629.33,2634.97,2626.86,2634.49,32740.692
2024-10-01T04:30:00Z,2634.49,2646.57,2633.23,2643.78,111307.535
2024-10-01T05:00:00Z,2643.78,2644.83,2635.64,2637.45,31726.717
2024-10-01T05:30:00Z,2637.44,2641.4,2635.78,2639.37,15852.866
2024-10-01T06:00:00Z,2639.36,2647.41,2639.09,2644.65,29597.726
2024-10-01T06:30:00Z,2644.66,2658.63,2641.64,2655.73,61196.905
2024-10-01T07:00:00Z,2655.74,2656.93,2644.15,2647.41,66204.421
2024-10-01T07:30:00Z,2647.41,2648.88,2642.48,2644.79,25704.714
2024-10-01T08:00:00Z,2644.78,2646.35,2639.8,2642.49,25744.102
2024-10-01T08:30:00Z,2642.49,2645.0,2633.12,2640.0,41258.81
2024-10-01T09:00:00Z,2640.0,2644.5,2638.01,2641.61,36803.012
2024-10-01T09:30:00Z,2641.62,2642.12,2633.53,2634.2,25714.791
2024-10-01T10:00:00Z,2634.2,2636.5,2630.69,2634.65,25603.809
2024-10-01T10:30:00Z,2634.66,2638.96,2631.72,2636.94,12686.122
2024-10-01T11:00:00Z,2636.94,2638.53,2630.68,2632.6,18707.026
2024-10-01T11:30:00Z,2632.6,2633.35,2627.05,2627.82,25637.855
2024-10-01T12:00:00Z,2627.81,2632.43,2626.63,2630.71,19197.971
2024-10-01T12:30:00Z,2630.72,2630.72,2618.07,2620.8,80332.275
2024-10-01T13:00:00Z,2620.8,2621.87,2606.66,2609.31,70006.803
2024-10-01T13:30:00Z,2609.31,2612.65,2565.17,2579.72,341283.394
2024-10-01T14:00:00Z,2579.72,2590.64,2569.54,2574.59,160137.135
2024-10-01T14:30:00Z,2574.59,2575.36,2535.11,2548.59,304655.208
2024-10-01T15:00:00Z,2548.59,2550.9,2480.0,2516.44,501705.516
2024-10-01T15:30:00Z,2516.43,2537.6,2514.2,2523.54,146229.019
2024-10-01T16:00:00Z,2523.54,2530.5,2503.12,2514.42,104558.165
2024-10-01T16:30:00Z,2514.41,2516.67,2482.01,2508.49,263057.921
2024-10-01T17:00:00Z,2508.49,2508.5,2425.17,2471.91,428996.175
2024-10-01T17:30:00Z,2471.88,2511.96,2469.36,2505.12,225245.122
2024-10-01T18:00:00Z,2505.12,2517.5,2503.24,2516.23,84974.635
2024-10-01T18:30:00Z,2516.21,2518.88,2490.5,2500.99,87807.204
2024-10-01T19:00:00Z,2500.99,2506.0,2486.24,2504.65,65491.524
2024-10-01T19:30:00Z,2504.66,2504.66,2485.06,2487.68,46199.559
2024-10-01T20:00:00Z,2487.68,2491.76,2442.44,2455.06,175805.055
2024-10-01T20:30:00Z,2455.05,2462.6,2412.4,2450.93,296807.914
2024-10-01T21:00:00Z,2450.92,2462.68,2444.02,2459.72,63075.059
2024-10-01T21:30:00Z,2459.73,2472.88,2452.1,2470.75,64140.883
2024-10-01T22:00:00Z,2470.74,2470.92,2451.22,2455.5,52382.754
2024-10-01T22:30:00Z,2455.5,2457.0,2445.09,2453.01,49025.075
2024-10-01T23:00:00Z,2453.01,2456.05,2438.33,2439.57,43851.506
2024-10-01T23:30:00Z,2439.4,2453.93,2438.33,2446.85,37359.757
2024-10-02T00:00:00Z,2446.85,2459.52,2441.17,2452.7,63327.807
2024-10-02T00:30:00Z,2452.7,2466.65,2451.85,2462.82,53080.184
2024-10-02T01:00:00Z,2462.82,2477.7,2459.6,2474.04,47976.575
2024-10-02T01:30:00Z,2474.05,2481.55,2469.11,2479.93,36718.086
2024-10-02T02:00:00Z,2479.93,2489.72,2474.33,2485.71,46503.428
2024-10-02T02:30:00Z,2485.71,2498.0,2483.0,2491.55,65654.126
2024-10-02T03:00:00Z,2491.54,2495.5,2483.52,2486.01,47783.36
2024-10-02T03:30:00Z,2486.0,2495.0,2483.5,2488.51,28772.27
2024-10-02T04:00:00Z,2488.51,2489.11,2474.0,2484.0,53579.67
2024-10-02T04:30:00Z,2484.0,2488.0,2476.34,2485.48,32340.654
2024-10-02T05:00:00Z,2485.49,2491.0,2479.67,2482.24,30235.963
2024-10-02T05:30:00Z,2482.24,2482.8,2471.25,2477.04,27667.34
2024-10-02T06:00:00Z,2477.04,2479.46,2466.0,2476.23,37351.713
2024-10-02T06:30:00Z,2476.23,2489.52,2476.0,2484.69,42732.597
2024-10-02T07:00:00Z,2484.7,2487.0,2473.83,2481.54,38389.235
2024-10-02T07:30:00Z,2481.54,2492.13,2477.0,2480.75,50791.1
2024-10-02T08:00:00Z,2480.76,2481.55,2474.0,2478.31,20503.118
2024-10-02T08:30:00Z,2478.31,2486.25,2477.32,2479.38,18623.659
2024-10-02T09:00:00Z,2479.37,2480.9,2462.83,2465.75,50807.125
2024-10-02T09:30:00Z,2465.75,2467.44,2446.0,2451.55,111311.556
2024-10-02T10:00:00Z,2451.55,2463.9,2447.05,2462.38,48734.708
2024-10-02T10:30:00Z,2462.38,2469.87,2449.52,2450.02,46384.236
2024-10-02T11:00:00Z,2450.02,2461.0,2440.32,2459.76,95991.012
2024-10-02T11:30:00Z,2459.76,2465.14,2453.24,2454.2,39753.944
2024-10-02T12:00:00Z,2454.2,2456.7,2445.0,2450.69,73864.618
2024-10-02T12:30:00Z,2450.69,2460.63,2430.18,2434.28,140743.98
2024-10-02T13:00:00Z,2434.27,2436.47,2418.95,2424.24,148903.884
2024-10-02T13:30:00Z,2424.27,2455.83,2416.92,2449.52,195902.285
2024-10-02T14:00:00Z,2449.51,2458.4,2430.53,2435.4,130277.502
2024-10-02T14:30:00Z,2435.4,2454.29,2432.19,2433.35,69329.936
2024-10-02T15:00:00Z,2433.34,2458.98,2432.33,2454.55,72469.787
2024-10-02T15:30:00Z,2454.55,2462.98,2453.08,2459.43,61679.991
2024-10-02T16:00:00Z,2459.44,2478.0,2457.87,2462.57,125726.527
2024-10-02T16:30:00Z,2462.58,2466.2,2450.74,2452.1,47006.423
2024-10-02T17:00:00Z,2452.11,2453.26,2439.36,2446.72,62396.591
2024-10-02T17:30:00Z,2446.72,2448.7,2432.26,2445.8,66533.3
2024-10-02T18:00:00Z,2445.79,2446.32,2395.47,2410.87,207446.839
2024-10-02T18:30:00Z,2410.87,2420.9,2387.43,2388.78,123143.28
2024-10-02T19:00:00Z,2388.79,2399.0,2373.0,2383.02,203158.042
2024-10-02T19:30:00Z,2383.01,2392.54,2366.17,2370.61,165320.731
2024-10-02T20:00:00Z,2370.61,2382.09,2358.47,2367.78,130132.403
2024-10-02T20:30:00Z,2367.79,2391.69,2367.35,2384.9,85953.791
2024-10-02T21:00:00Z,2384.9,2386.19,2362.5,2374.23,56752.292
2024-10-02T21:30:00Z,2374.24,2382.36,2365.14,2377.67,38532.6
2024-10-02T22:00:00Z,2377.66,2378.2,2350.0,2360.55,98551.332
2024-10-02T22:30:00Z,2360.56,2381.25,2359.48,2380.88,32734.924
2024-10-02T23:00:00Z,2380.88,2381.58,2370.0,2370.51,29743.848
2024-10-02T23:30:00Z,2370.51,2371.69,2358.7,2363.0,68784.972
2024-10-03T00:00:00Z,2363.0,2373.28,2351.6,2366.8,90582.975
2024-10-03T00:30:00Z,2366.8,2381.97,2365.6,2370.99,70603.397
